# old_va new_va source_file:line | old_pattern -> new_pattern
# UNVERIFIED machine output: each line is a hypothesis, not a result.
00830810 0083BBC0 HistoryHUD.zhl:4 | 558bec538bd98b0d????????81c1b8af0400578b7d??8b013b41??74??ffb7????????e8????????84c074??837f??0075??83bf????????0075??83bf????????2874??83c8ff -> 558bec538bd98b0d??????0081c1????0400578b7d088b013b4104740fffb7??160000e818????0084c07456837f2c00755083
0082FF40 0083B280 HistoryHUD.zhl:7 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505381ec2801000056 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505381ec280100005657a1b4????0033c5508d45f464a3000000008b430883
009768C0 0099E360 HomingLaser.zhl:1 | 558bec6aff68????????64a1????????5083ec54535657a1????????33c5508d45??64a3????????f30f114d -> 558bec6aff68??????0064a1000000005083ec??535657a1b4????0033c5508d45f464a300000000f30f114d??8bf9897d??8b
0071F600 007252A0 ItemConfig.zhl:4 | 558bec5153568bf133db578b46 -> 558bec5153568bf133db578b46048b0e2bc1c1f80285c074
00727670 0072E640 ItemConfig.zhl:31 | 558bec6aff68????????64a1????????5051b820010100 -> 558bec6aff68??????0064a10000000050??b8??01??????
005B3230 005B14B0 ItemPool.zhl:4 | 558bec8b81????????56 -> 558bec8b818c060000568b75088bd6c1ea0583e61f8d0c90
00730C70 00736530 ItemPool.zhl:22 | 558bec83e4f883ec148b45??535657 -> 558bec83e4f883ec148b45085356578bf8894c241c057401
009E6420 00A179C0 KAGE_Filesys_FileManager.zhl:1 | 558bec6aff68????????64a1????????5081ec640e0000 -> 558bec6aff68??????0064a1000000005081ec??0e0000a1
0083E520 008576C0 Leaderboard.zhl:1 | 558bec83ec68a1????????33c58945??568bf1 -> 558bec83ec??a1b4????0033c58945fc568bf157837e0400
00743240 00749270 Level.zhl:13 | 558bec83e4f881ece8000000 -> 558bec83e4f881ece8000000a1b4????0033c4898424e40000008b4508568b75
0073FE80 00745CA0 Level.zhl:34 | 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68????????64a100000000505383ec70a1????????33c58945ec5657508d45f464a3000000008bc28945888bf9 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec??a1b4????0033c58945ec5657508d45f464a3000000008bc28945??8bf9
00747470 0074D4A0 Level.zhl:58 | 558bec6aff68????????64a1????????5081ecd8000000 -> 558bec6aff68??????0064a1000000005081ecd8000000a1b4????0033c58945ec535657508d45f4
0073BFD0 00741E60 Level.zhl:70 | 558bec6aff68????????64a1????????5083ec68a1????????33c58945??535657508d45??64a3????????8bd98b55 -> 558bec6aff68??????0064a1000000005083ec??a1b4????0033c58945ec535657508d45f464a3000000008b??8b550c8b45108b??
009877E0 009B0180 LevelGenerator.zhl:23 | 558bec83e4f85153568bf1578b86 -> 558bec83e4f85153568bf1578b86640300003b8668030000
0084D340 00866960 LuaEngine.zhl:4 | 558bec6aff68????????64a1????????5081ec4401000053 -> 558bec6aff68??????0064a1000000005081ec44010000535657a1b4????0033c5508d45f464a3000000008bd98b5318
008D4090 008F70F0 LuaEngine.zhl:10 | 558bec6aff68????????64a1????????5083ec54a1????????33c58945??5657508d45??64a3????????8bd1 -> 558bec6aff68??????0064a1000000005083ec54a1b4????0033c58945f05657508d
0084AE90 00866490 LuaEngine.zhl:19 | 558bec6aff68????????64a1????????5083ec30535657a1????????33c5508d45??64a3????????8965??8b0d????????c745??18000000 -> 558bec6aff68??????0064a1000000005083ec30535657a1b4????0033c5508d45f464a3000000008965f08b0d??????00
00849A90 00863340 LuaEngine.zhl:70 | 558bec6aff68????????64a1????????5083ec28535657a1????????33c5508d45??64a3????????8965??8b0d -> 558bec6aff68??????0064a1000000005083ec28535657a1b4????0033c5508d45f464a3000000008965f08b0d??????00c745
0092BA20 00952410 Manager.zhl:1 | 558bec6aff68????????64a1????????5081ec2c020000a1????????33c58945??56 -> 558bec6aff68??????0064a1000000005081ec??020000a1b4????0033c58945f05657508d45f464a3000000008b3d??????0068??
0092E3E0 00954CD0 Manager.zhl:4 | 558bec83e4f081ec68040000 -> 558bec83e4f081ec??040000a1b4????0033c4898424??04
00933D40 0095A7B0 Manager.zhl:7 | 558bec83ec08568b35????????85f6 -> 558bec83ec??568b35??????0085f60f84??0200008b86ac
